"ClimateZone","Cluster","level","name","N","Freq"
"Af","1","Kingdom","Bacteria",296,1
"Af","1","Phylum","Proteobacteria",86,0.2905
"Af","1","Phylum","Acidobacteria",59,0.1993
"Af","1","Phylum","Actinobacteria",49,0.1655
"Af","1","Phylum","Planctomycetes",25,0.0845
"Af","1","Phylum","Bacteroidetes",23,0.0777
"Af","1","Phylum","Verrucomicrobia",22,0.0743
"Af","1","Phylum","Gemmatimonadetes",15,0.0507
"Af","1","Phylum","Chloroflexi",8,0.027
"Af","1","Phylum","Nitrospirae",2,0.0068
"Af","1","Phylum","WS3",2,0.0068
"Af","1","Phylum","Cyanobacteria",2,0.0068
"Af","1","Phylum","Elusimicrobia",1,0.0034
"Af","1","Phylum","unassigned",1,0.0034
"Af","1","Phylum","Firmicutes",1,0.0034
"Af","1","Class","Alphaproteobacteria",34,0.1149
"Af","1","Class","Deltaproteobacteria",27,0.0912
"Af","1","Class","Actinobacteria",19,0.0642
"Af","1","Class","Acidobacteria-6",18,0.0608
"Af","1","Class","Thermoleophilia",17,0.0574
"Af","1","Class","Planctomycetia",17,0.0574
"Af","1","Class","Chloracidobacteria",17,0.0574
"Af","1","Class","Betaproteobacteria",14,0.0473
"Af","1","Class","Pedosphaerae",12,0.0405
"Af","1","Class","Gemmatimonadetes",9,0.0304
"Af","1","Class","Gammaproteobacteria",9,0.0304
"Af","1","Class","Cytophagia",9,0.0304
"Af","1","Class","Saprospirae",8,0.027
"Af","1","Class","Rubrobacteria",7,0.0236
"Af","1","Class","Solibacteres",6,0.0203
"Af","1","Class","unassigned",6,0.0203
"Af","1","Class","Phycisphaerae",5,0.0169
"Af","1","Class","Sva0725",5,0.0169
"Af","1","Class","Opitutae",4,0.0135
"Af","1","Class","TK10",4,0.0135
"Af","1","Class","iii1-8",4,0.0135
"Af","1","Class","Spartobacteria",4,0.0135
"Af","1","Class","Sphingobacteriia",4,0.0135
"Af","1","Class","Acidimicrobiia",4,0.0135
"Af","1","Class","Acidobacteria-5",3,0.0101
"Af","1","Class","Nitrospira",2,0.0068
"Af","1","Class","Gemm-1",2,0.0068
"Af","1","Class","Verrucomicrobiae",2,0.0068
"Af","1","Class","PRR-12",2,0.0068
"Af","1","Class","Gemm-2",2,0.0068
"Af","1","Class","S035",2,0.0068
"Af","1","Class","Acidobacteriia",2,0.0068
"Af","1","Class","vadinHA49",2,0.0068
"Af","1","Class","MB-A2-108",2,0.0068
"Af","1","Class","Anaerolineae",1,0.0034
"Af","1","Class","S085",1,0.0034
"Af","1","Class","BPC102",1,0.0034
"Af","1","Class","4C0d-2",1,0.0034
"Af","1","Class","OM190",1,0.0034
"Af","1","Class","Elusimicrobia",1,0.0034
"Af","1","Class","Chloroplast",1,0.0034
"Af","1","Class","Gemm-3",1,0.0034
"Af","1","Class","Gitt-GS-136",1,0.0034
"Af","1","Class","Bacilli",1,0.0034
"Af","1","Class","Gemm-5",1,0.0034
"Af","1","Class","Ellin6529",1,0.0034
"Af","1","Order","unassigned",33,0.1115
"Af","1","Order","Myxococcales",19,0.0642
"Af","1","Order","Rhizobiales",18,0.0608
"Af","1","Order","Actinomycetales",17,0.0574
"Af","1","Order","iii1-15",14,0.0473
"Af","1","Order","RB41",13,0.0439
"Af","1","Order","Solirubrobacterales",12,0.0405
"Af","1","Order","Pedosphaerales",12,0.0405
"Af","1","Order","Pirellulales",10,0.0338
"Af","1","Order","Cytophagales",9,0.0304
"Af","1","Order","Saprospirales",8,0.027
"Af","1","Order","Sphingomonadales",7,0.0236
"Af","1","Order","Rubrobacterales",7,0.0236
"Af","1","Order","Solibacterales",6,0.0203
"Af","1","Order","Rhodospirillales",6,0.0203
"Af","1","Order","Xanthomonadales",6,0.0203
"Af","1","Order","WD2101",5,0.0169
"Af","1","Order","Sva0725",5,0.0169
"Af","1","Order","MND1",5,0.0169
"Af","1","Order","Gaiellales",5,0.0169
"Af","1","Order","Opitutales",4,0.0135
"Af","1","Order","DS-18",4,0.0135
"Af","1","Order","Burkholderiales",4,0.0135
"Af","1","Order","Chthoniobacterales",4,0.0135
"Af","1","Order","Sphingobacteriales",4,0.0135
"Af","1","Order","Acidimicrobiales",4,0.0135
"Af","1","Order","Gemmatales",4,0.0135
"Af","1","Order","C114",3,0.0101
"Af","1","Order","AKYG885",3,0.0101
"Af","1","Order","Gemmatimonadales",2,0.0068
"Af","1","Order","Nitrospirales",2,0.0068
"Af","1","Order","Syntrophobacterales",2,0.0068
"Af","1","Order","Verrucomicrobiales",2,0.0068
"Af","1","Order","CCU21",2,0.0068
"Af","1","Order","Entotheonellales",2,0.0068
"Af","1","Order","Micrococcales",2,0.0068
"Af","1","Order","Acidobacteriales",2,0.0068
"Af","1","Order","Planctomycetales",2,0.0068
"Af","1","Order","DS-100",2,0.0068
"Af","1","Order","DH61",2,0.0068
"Af","1","Order","0319-7L14",2,0.0068
"Af","1","Order","SBR1031",1,0.0034
"Af","1","Order","Ellin5290",1,0.0034
"Af","1","Order","Ellin329",1,0.0034
"Af","1","Order","N1423WL",1,0.0034
"Af","1","Order","LD1-PA13",1,0.0034
"Af","1","Order","SC-I-84",1,0.0034
"Af","1","Order","Sediment-1",1,0.0034
"Af","1","Order","Caulobacterales",1,0.0034
"Af","1","Order","MVS-40",1,0.0034
"Af","1","Order","MLE1-12",1,0.0034
"Af","1","Order","Pseudomonadales",1,0.0034
"Af","1","Order","CL500-15",1,0.0034
"Af","1","Order","IIb",1,0.0034
"Af","1","Order","Streptophyta",1,0.0034
"Af","1","Order","PK29",1,0.0034
"Af","1","Order","Bacillales",1,0.0034
"Af","1","Order","11-24",1,0.0034
