".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"degree","Af","Am",1407,1226,796401.5,0.000683,0.034,"*"
"degree","Af","Aw",1407,1280,830066,0.000455,0.024,"*"
"degree","Af","BSk",1407,1035,595168,1.15e-14,9.43e-13,"****"
"degree","Af","BWk",1407,385,93015,5.77e-87,7.73e-85,"****"
"degree","Af","Cfa",1407,1488,1037382,0.675,1,"ns"
"degree","Af","Cfb",1407,1491,1043140.5,0.797,1,"ns"
"degree","Af","Csa",1407,444,160925,1.17e-53,1.3e-51,"****"
"degree","Af","Csb",1407,1352,906047.5,0.031,1,"ns"
"degree","Af","Cwb",1407,686,251566.5,6.82e-71,8.39e-69,"****"
"degree","Af","Dfa",1407,1300,839063.5,0.000203,0.011,"*"
"degree","Af","Dfb",1407,1420,959997.5,0.072,1,"ns"
"degree","Af","Dfc",1407,1285,864376.5,0.049,1,"ns"
"degree","Af","Dwb",1407,1246,787183,5.65e-06,0.000356,"***"
"degree","Af","Dwc",1407,1296,844975,0.000989,0.047,"*"
"degree","Af","EF",1407,715,339291,1.29e-34,1.26e-32,"****"
"degree","Af","ET",1407,1019,592953,3.42e-13,2.7e-11,"****"
"degree","Am","Aw",1226,1280,785707.5,0.953,1,"ns"
"degree","Am","BSk",1226,1035,565416.5,8.05e-06,0.000491,"***"
"degree","Am","BWk",1226,385,87347.5,8.87e-78,1.13e-75,"****"
"degree","Am","Cfa",1226,1488,976319,0.002,0.07,"ns"
"degree","Am","Cfb",1226,1491,980563,0.001,0.05,"ns"
"degree","Am","Csa",1226,444,153038,1.27e-42,1.31e-40,"****"
"degree","Am","Csb",1226,1352,853872.5,0.184,1,"ns"
"degree","Am","Cwb",1226,686,241107,3.79e-54,4.32e-52,"****"
"degree","Am","Dfa",1226,1300,793065.5,0.834,1,"ns"
"degree","Am","Dfb",1226,1420,906942,0.063,1,"ns"
"degree","Am","Dfc",1226,1285,811338,0.193,1,"ns"
"degree","Am","Dwb",1226,1246,745544.5,0.304,1,"ns"
"degree","Am","Dwc",1226,1296,799693,0.774,1,"ns"
"degree","Am","EF",1226,715,322786,3.07e-22,2.65e-20,"****"
"degree","Am","ET",1226,1019,558536,1.54e-05,0.000909,"***"
"degree","Aw","BSk",1280,1035,587552,2.86e-06,0.000186,"***"
"degree","Aw","BWk",1280,385,90019.5,1.02e-79,1.32e-77,"****"
"degree","Aw","Cfa",1280,1488,1020445.5,0.001,0.053,"ns"
"degree","Aw","Cfb",1280,1491,1025536.5,0.000685,0.034,"*"
"degree","Aw","Csa",1280,444,158076,3.17e-44,3.33e-42,"****"
"degree","Aw","Csb",1280,1352,890934.5,0.188,1,"ns"
"degree","Aw","Cwb",1280,686,248954.5,1.54e-56,1.79e-54,"****"
"degree","Aw","Dfa",1280,1300,826383,0.767,1,"ns"
"degree","Aw","Dfb",1280,1420,946406,0.063,1,"ns"
"degree","Aw","Dfc",1280,1285,846596,0.197,1,"ns"
"degree","Aw","Dwb",1280,1246,776241,0.247,1,"ns"
"degree","Aw","Dwc",1280,1296,833421,0.833,1,"ns"
"degree","Aw","EF",1280,715,334649.5,2.17e-23,1.91e-21,"****"
"degree","Aw","ET",1280,1019,580127,5.22e-06,0.000334,"***"
"degree","BSk","BWk",1035,385,81626,1.03e-65,1.25e-63,"****"
"degree","BSk","Cfa",1035,1488,907683.5,2.05e-14,1.66e-12,"****"
"degree","BSk","Cfb",1035,1491,911139.5,9.86e-15,8.18e-13,"****"
"degree","BSk","Csa",1035,444,145769,6.56e-29,6.17e-27,"****"
"degree","BSk","Csb",1035,1352,797537,4.48e-09,3.27e-07,"****"
"degree","BSk","Cwb",1035,686,232050,3.92e-34,3.8e-32,"****"
"degree","BSk","Dfa",1035,1300,743477.5,1.24e-05,0.000744,"***"
