"variable",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"Average path length","value","Af","Am",100,100,7360,8.16e-09,1.14e-08,"****"
"Average path length","value","Af","Aw",100,100,7355,8.77e-09,1.22e-08,"****"
"Average path length","value","Af","BSk",100,100,9487,5.8e-28,1.31e-27,"****"
"Average path length","value","Af","BWk",100,100,10000,2.56e-34,9.21e-34,"****"
"Average path length","value","Af","Cfa",100,100,4329,0.101,0.109,"ns"
"Average path length","value","Af","Cfb",100,100,4745,0.534,0.541,"ns"
"Average path length","value","Af","Csa",100,100,10000,2.56e-34,9.21e-34,"****"
"Average path length","value","Af","Csb",100,100,6168,0.004,0.005,"**"
"Average path length","value","Af","Cwb",100,100,10000,2.56e-34,9.21e-34,"****"
"Average path length","value","Af","Dfa",100,100,8464,2.61e-17,4.73e-17,"****"
"Average path length","value","Af","Dfb",100,100,6575,0.00012,0.000153,"***"
"Average path length","value","Af","Dfc",100,100,7560,4e-10,5.91e-10,"****"
"Average path length","value","Af","Dwb",100,100,8449,3.58e-17,6.41e-17,"****"
"Average path length","value","Af","Dwc",100,100,7921,9.61e-13,1.56e-12,"****"
"Average path length","value","Af","EF",100,100,9970,6.29e-34,1.86e-33,"****"
"Average path length","value","Af","ET",100,100,9475,8.02e-28,1.79e-27,"****"
"Average path length","value","Am","Aw",100,100,4937,0.879,0.879,"ns"
"Average path length","value","Am","BSk",100,100,8354,2.53e-16,4.36e-16,"****"
"Average path length","value","Am","BWk",100,100,10000,2.56e-34,9.21e-34,"****"
"Average path length","value","Am","Cfa",100,100,2160,3.98e-12,6.15e-12,"****"
"Average path length","value","Am","Cfb",100,100,2474,6.8e-10,9.84e-10,"****"
"Average path length","value","Am","Csa",100,100,10000,2.56e-34,9.21e-34,"****"
"Average path length","value","Am","Csb",100,100,3870,0.006,0.007,"**"
"Average path length","value","Am","Cwb",100,100,10000,2.56e-34,9.21e-34,"****"
"Average path length","value","Am","Dfa",100,100,6261,0.002,0.002,"**"
"Average path length","value","Am","Dfb",100,100,4042,0.019,0.022,"*"
"Average path length","value","Am","Dfc",100,100,5289,0.481,0.496,"ns"
"Average path length","value","Am","Dwb",100,100,6473,0.000321,0.000397,"***"
"Average path length","value","Am","Dwc",100,100,5561,0.171,0.182,"ns"
"Average path length","value","Am","EF",100,100,9921,2.7e-33,7.49e-33,"****"
"Average path length","value","Am","ET",100,100,8577,2.36e-18,4.46e-18,"****"
"Average path length","value","Aw","BSk",100,100,8422,6.27e-17,1.11e-16,"****"
"Average path length","value","Aw","BWk",100,100,10000,2.56e-34,9.21e-34,"****"
"Average path length","value","Aw","Cfa",100,100,2119,1.95e-12,3.08e-12,"****"
"Average path length","value","Aw","Cfb",100,100,2441,4.07e-10,5.95e-10,"****"
"Average path length","value","Aw","Csa",100,100,10000,2.56e-34,9.21e-34,"****"
"Average path length","value","Aw","Csb",100,100,3880,0.006,0.007,"**"
"Average path length","value","Aw","Cwb",100,100,10000,2.56e-34,9.21e-34,"****"
"Average path length","value","Aw","Dfa",100,100,6364,0.000864,0.001,"**"
"Average path length","value","Aw","Dfb",100,100,4074,0.024,0.026,"*"
"Average path length","value","Aw","Dfc",100,100,5320,0.435,0.455,"ns"
"Average path length","value","Aw","Dwb",100,100,6526,0.000193,0.000243,"***"
"Average path length","value","Aw","Dwc",100,100,5625,0.127,0.136,"ns"
"Average path length","value","Aw","EF",100,100,9907,4.08e-33,1.11e-32,"****"
"Average path length","value","Aw","ET",100,100,8629,7.59e-19,1.47e-18,"****"
"Average path length","value","BSk","BWk",100,100,10000,2.56e-34,9.21e-34,"****"
"Average path length","value","BSk","Cfa",100,100,313,2.33e-30,5.66e-30,"****"
"Average path length","value","BSk","Cfb",100,100,433,6.56e-29,1.54e-28,"****"
"Average path length","value","BSk","Csa",100,100,10000,2.56e-34,9.21e-34,"****"
"Average path length","value","BSk","Csb",100,100,1219,2.53e-20,5.06e-20,"****"
"Average path length","value","BSk","Cwb",100,100,9997,2.8e-34,9.29e-34,"****"
"Average path length","value","BSk","Dfa",100,100,2531,1.62e-09,2.32e-09,"****"
"Average path length","value","BSk","Dfb",100,100,1148,4.93e-21,1e-20,"****"
"Average path length","value","BSk","Dfc",100,100,1772,3.12e-15,5.3e-15,"****"
"Average path length","value","BSk","Dwb",100,100,2913,3.43e-07,4.53e-07,"****"
"Average path length","value","BSk","Dwc",100,100,2083,1.03e-12,1.65e-12,"****"
"Average path length","value","BSk","EF",100,100,9194,1.23e-24,2.7e-24,"****"
"Average path length","value","BSk","ET",100,100,5818,0.046,0.05,"ns"
"Average path length","value","BWk","Cfa",100,100,0,2.56e-34,9.21e-34,"****"
"Average path length","value","BWk","Cfb",100,100,0,2.56e-34,9.21e-34,"****"
"Average path length","value","BWk","Csa",100,100,0,2.56e-34,9.21e-34,"****"
"Average path length","value","BWk","Csb",100,100,0,2.56e-34,9.21e-34,"****"
"Average path length","value","BWk","Cwb",100,100,0,2.56e-34,9.21e-34,"****"
"Average path length","value","BWk","Dfa",100,100,0,2.56e-34,9.21e-34,"****"
"Average path length","value","BWk","Dfb",100,100,0,2.56e-34,9.21e-34,"****"
"Average path length","value","BWk","Dfc",100,100,0,2.56e-34,9.21e-34,"****"
"Average path length","value","BWk","Dwb",100,100,0,2.56e-34,9.21e-34,"****"
"Average path length","value","BWk","Dwc",100,100,0,2.56e-34,9.21e-34,"****"
