"No. of Samples","No. of ESVs","Freq of Samples","Freq. of ESVs","cumsumFreq ESVs"
1,29808,0.001048,0.22625,0.22625
2,17928,0.002096,0.136078,0.362328
3,12759,0.003145,0.096844,0.459172
4,9377,0.004193,0.071174,0.530346
5,6944,0.005241,0.052707,0.583053
6,5770,0.006289,0.043796,0.626849
7,4540,0.007338,0.03446,0.661309
8,3787,0.008386,0.028744,0.690053
9,3258,0.009434,0.024729,0.714782
10,2697,0.010482,0.020471,0.735253
11,2432,0.01153,0.018459,0.753712
12,2224,0.012579,0.016881,0.770593
13,1814,0.013627,0.013769,0.784362
14,1704,0.014675,0.012934,0.797296
15,1464,0.015723,0.011112,0.808408
16,1356,0.016771,0.010292,0.8187
17,1280,0.01782,0.009716,0.828416
18,1104,0.018868,0.00838,0.836796
19,985,0.019916,0.007476,0.844272
20,986,0.020964,0.007484,0.851756
21,929,0.022013,0.007051,0.858807
22,838,0.023061,0.006361,0.865168
23,790,0.024109,0.005996,0.871164
24,690,0.025157,0.005237,0.876401
25,691,0.026205,0.005245,0.881646
26,613,0.027254,0.004653,0.886299
27,632,0.028302,0.004797,0.891096
28,553,0.02935,0.004197,0.895293
29,581,0.030398,0.00441,0.899703
30,521,0.031447,0.003955,0.903658
31,626,0.032495,0.004751,0.908409
32,454,0.033543,0.003446,0.911855
33,393,0.034591,0.002983,0.914838
34,376,0.035639,0.002854,0.917692
35,340,0.036688,0.002581,0.920273
36,334,0.037736,0.002535,0.922808
37,285,0.038784,0.002163,0.924971
38,291,0.039832,0.002209,0.92718
39,277,0.040881,0.002102,0.929282
40,267,0.041929,0.002027,0.931309
41,272,0.042977,0.002065,0.933374
42,238,0.044025,0.001806,0.93518
43,194,0.045073,0.001473,0.936653
44,201,0.046122,0.001526,0.938179
45,207,0.04717,0.001571,0.93975
46,214,0.048218,0.001624,0.941374
47,204,0.049266,0.001548,0.942922
48,176,0.050314,0.001336,0.944258
49,167,0.051363,0.001268,0.945526
50,142,0.052411,0.001078,0.946604
51,166,0.053459,0.00126,0.947864
52,145,0.054507,0.001101,0.948965
53,143,0.055556,0.001085,0.95005
54,134,0.056604,0.001017,0.951067
55,161,0.057652,0.001222,0.952289
56,132,0.0587,0.001002,0.953291
57,137,0.059748,0.00104,0.954331
58,138,0.060797,0.001047,0.955378
59,130,0.061845,0.000987,0.956365
60,115,0.062893,0.000873,0.957238
61,110,0.063941,0.000835,0.958073
62,105,0.06499,0.000797,0.95887
63,109,0.066038,0.000827,0.959697
64,101,0.067086,0.000767,0.960464
65,97,0.068134,0.000736,0.9612
66,105,0.069182,0.000797,0.961997
67,96,0.070231,0.000729,0.962726
68,92,0.071279,0.000698,0.963424
69,81,0.072327,0.000615,0.964039
70,77,0.073375,0.000584,0.964623
71,71,0.074423,0.000539,0.965162
72,85,0.075472,0.000645,0.965807
73,72,0.07652,0.000546,0.966353
74,81,0.077568,0.000615,0.966968
75,78,0.078616,0.000592,0.96756
76,67,0.079665,0.000509,0.968069
77,70,0.080713,0.000531,0.9686
78,78,0.081761,0.000592,0.969192
79,79,0.082809,6e-04,0.969792
80,73,0.083857,0.000554,0.970346
81,62,0.084906,0.000471,0.970817
82,64,0.085954,0.000486,0.971303
83,68,0.087002,0.000516,0.971819
84,63,0.08805,0.000478,0.972297
85,51,0.089099,0.000387,0.972684
86,55,0.090147,0.000417,0.973101
87,67,0.091195,0.000509,0.97361
88,55,0.092243,0.000417,0.974027
89,69,0.093291,0.000524,0.974551
90,51,0.09434,0.000387,0.974938
91,44,0.095388,0.000334,0.975272
92,45,0.096436,0.000342,0.975614
93,48,0.097484,0.000364,0.975978
94,38,0.098532,0.000288,0.976266
95,37,0.099581,0.000281,0.976547
96,36,0.100629,0.000273,0.97682
97,41,0.101677,0.000311,0.977131
98,53,0.102725,0.000402,0.977533
99,35,0.103774,0.000266,0.977799
100,47,0.104822,0.000357,0.978156
101,51,0.10587,0.000387,0.978543
102,40,0.106918,0.000304,0.978847
103,29,0.107966,0.00022,0.979067
104,39,0.109015,0.000296,0.979363
105,32,0.110063,0.000243,0.979606
106,36,0.111111,0.000273,0.979879
107,37,0.112159,0.000281,0.98016
108,33,0.113208,0.00025,0.98041
109,23,0.114256,0.000175,0.980585
110,39,0.115304,0.000296,0.980881
111,41,0.116352,0.000311,0.981192
112,31,0.1174,0.000235,0.981427
113,28,0.118449,0.000213,0.98164
114,40,0.119497,0.000304,0.981944
115,24,0.120545,0.000182,0.982126
116,30,0.121593,0.000228,0.982354
117,23,0.122642,0.000175,0.982529
118,37,0.12369,0.000281,0.98281
119,29,0.124738,0.00022,0.98303
120,24,0.125786,0.000182,0.983212
121,38,0.126834,0.000288,0.9835
122,13,0.127883,9.9e-05,0.983599
123,28,0.128931,0.000213,0.983812
124,27,0.129979,0.000205,0.984017
125,31,0.131027,0.000235,0.984252
126,25,0.132075,0.00019,0.984442
127,21,0.133124,0.000159,0.984601
128,28,0.134172,0.000213,0.984814
129,22,0.13522,0.000167,0.984981
130,23,0.136268,0.000175,0.985156
131,19,0.137317,0.000144,0.9853
