"ClimateZone","level","from","to","x","n","n1","n2","pvalue","p.adj"
"Af","Phylum","planctomycetes","planctomycetes",3,919,73,12135,0.809596541180346,0.83571902820301
"Af","Phylum","planctomycetes","proteobacteria",27,919,375,11833,0.547319210467688,0.611811186377535
"Af","Phylum","planctomycetes","spirochaetes",1,919,5,12203,0.0485746266781192,0.111950876721603
"Af","Phylum","planctomycetes","verrucomicrobia",5,919,55,12153,0.231193284468427,0.320312231831834
"Af","Phylum","planctomycetes","ws3",1,919,11,12197,0.198579070773887,0.286498394500056
"Af","Phylum","proteobacteria","proteobacteria",139,919,1924,10284,0.689860784161198,0.734453216044894
"Af","Phylum","proteobacteria","verrucomicrobia",25,919,480,11728,0.974144690211884,0.978311965804162
"Af","Phylum","proteobacteria","ws3",5,919,57,12151,0.256717930686498,0.345971415643802
"Af","Phylum","spirochaetes","verrucomicrobia",1,919,11,12197,0.198579070773887,0.286498394500056
"Af","Phylum","verrucomicrobia","verrucomicrobia",5,919,89,12119,0.669417444811772,0.717177655876244
"Af","Phylum","verrucomicrobia","ws3",4,919,14,12194,0.00269464463002189,0.0224011654330199
"Af","Class","1","6",1,919,22,12186,0.501297196400151,0.571012210045631
"Af","Class","1","acidobacteriia",1,919,2,12206,0.00566115084903374,0.0309407027928764
"Af","Class","1","actinobacteria",5,919,11,12197,5.95079330538706e-05,0.000839863021288666
"Af","Class","1","alphaproteobacteria",1,919,50,12158,0.899180675192516,0.913373361820273
"Af","Class","1","bacilli",1,919,4,12204,0.0306602224654142,0.0846440475787835
"Af","Class","1","chloracidobacteria",1,919,18,12190,0.397418098593855,0.478106450188552
"Af","Class","1","gammaproteobacteria",1,919,10,12198,0.170554459489647,0.255992951893151
"Af","Class","1","gemm",5,919,88,12120,0.658621466953028,0.707156828856807
"Af","Class","12","acidimicrobiia",1,919,1,12207,0,0
"Af","Class","12","acidobacteriia",1,919,6,12202,0.0692848993512927,0.140269731858053
"Af","Class","12","alphaproteobacteria",1,919,20,12188,0.450751375384978,0.525136221773734
"Af","Class","12","betaproteobacteria",1,919,13,12195,0.25585121894103,0.345138241931781
