"level","from","to","No. of climate zones","Climate zones"
"Phylum","fcpu426","ws3",2,"Af/Dfb"
"Phylum","fcpu426","proteobacteria",1,"Am"
"Phylum","fcpu426","od1",2,"Cfb/Dfa"
"Phylum","fcpu426","fibrobacteres",1,"Dfa"
"Phylum","fcpu426","gemmatimonadetes",1,"Dfb"
"Phylum","fcpu426","spirochaetes",1,"Dwc"
"Phylum","fibrobacteres","nitrospirae",1,"Cfa"
"Phylum","fibrobacteres","spirochaetes",2,"Cfa/Csb"
"Phylum","fibrobacteres","planctomycetes",1,"Dfb"
"Phylum","fibrobacteres","verrucomicrobia",1,"Dfc"
"Phylum","fibrobacteres","proteobacteria",2,"Dwb/Dwc"
"Phylum","fibrobacteres","gemmatimonadetes",1,"Dwc"
"Phylum","firmicutes","planctomycetes",1,"BSk"
"Phylum","firmicutes","proteobacteria",2,"BSk/EF"
"Phylum","firmicutes","unassigned",2,"BSk/EF"
"Phylum","firmicutes","firmicutes",1,"Cfb"
"Phylum","firmicutes","verrucomicrobia",2,"Csa/ET"
"Phylum","firmicutes","nitrospirae",1,"Dfb"
"Phylum","firmicutes","spirochaetes",1,"EF"
"Phylum","gemmatimonadetes","od1",2,"Af/Aw"
"Phylum","gemmatimonadetes","spirochaetes",1,"Am"
"Phylum","gemmatimonadetes","unassigned",1,"Aw"
"Phylum","gemmatimonadetes","planctomycetes",2,"BSk/Cfb"
"Phylum","gemmatimonadetes","proteobacteria",1,"Dfa"
"Phylum","gemmatimonadetes","ws3",1,"Dfa"
"Phylum","gemmatimonadetes","gemmatimonadetes",2,"Dfa/Dwc"
"Phylum","gemmatimonadetes","nitrospirae",1,"ET"
"Phylum","gemmatimonadetes","verrucomicrobia",1,"ET"
"Phylum","nitrospirae","od1",1,"Af"
"Phylum","nitrospirae","proteobacteria",1,"Am"
"Phylum","nitrospirae","planctomycetes",3,"BWh/Cfa/Dfb"
"Phylum","nitrospirae","unassigned",1,"Dfa"
"Phylum","od1","unassigned",2,"Aw/Dwc"
