"No. of Samples","No. of ESVs","Freq of Samples","Freq. of ESVs","cumsumFreq ESVs"
943,5,0.220379,2.9e-05,0.992647
944,4,0.220612,2.4e-05,0.992671
945,4,0.220846,2.4e-05,0.992695
946,2,0.22108,1.2e-05,0.992707
947,2,0.221313,1.2e-05,0.992719
948,3,0.221547,1.8e-05,0.992737
949,3,0.221781,1.8e-05,0.992755
950,3,0.222014,1.8e-05,0.992773
951,3,0.222248,1.8e-05,0.992791
952,2,0.222482,1.2e-05,0.992803
953,3,0.222716,1.8e-05,0.992821
955,1,0.223183,6e-06,0.992827
956,1,0.223417,6e-06,0.992833
958,2,0.223884,1.2e-05,0.992845
960,2,0.224351,1.2e-05,0.992857
961,3,0.224585,1.8e-05,0.992875
962,3,0.224819,1.8e-05,0.992893
963,1,0.225053,6e-06,0.992899
964,2,0.225286,1.2e-05,0.992911
965,2,0.22552,1.2e-05,0.992923
966,2,0.225754,1.2e-05,0.992935
967,5,0.225987,2.9e-05,0.992964
968,1,0.226221,6e-06,0.99297
969,2,0.226455,1.2e-05,0.992982
971,1,0.226922,6e-06,0.992988
972,4,0.227156,2.4e-05,0.993012
973,1,0.22739,6e-06,0.993018
974,2,0.227623,1.2e-05,0.99303
976,1,0.228091,6e-06,0.993036
977,1,0.228324,6e-06,0.993042
978,1,0.228558,6e-06,0.993048
979,1,0.228792,6e-06,0.993054
980,3,0.229025,1.8e-05,0.993072
981,3,0.229259,1.8e-05,0.99309
982,2,0.229493,1.2e-05,0.993102
983,1,0.229727,6e-06,0.993108
984,5,0.22996,2.9e-05,0.993137
985,2,0.230194,1.2e-05,0.993149
986,2,0.230428,1.2e-05,0.993161
987,3,0.230661,1.8e-05,0.993179
988,3,0.230895,1.8e-05,0.993197
989,1,0.231129,6e-06,0.993203
990,1,0.231362,6e-06,0.993209
991,3,0.231596,1.8e-05,0.993227
992,2,0.23183,1.2e-05,0.993239
993,1,0.232064,6e-06,0.993245
994,3,0.232297,1.8e-05,0.993263
995,2,0.232531,1.2e-05,0.993275
996,2,0.232765,1.2e-05,0.993287
997,3,0.232998,1.8e-05,0.993305
998,3,0.233232,1.8e-05,0.993323
999,1,0.233466,6e-06,0.993329
1000,7,0.233699,4.1e-05,0.99337
1001,1,0.233933,6e-06,0.993376
1002,4,0.234167,2.4e-05,0.9934
1003,2,0.234401,1.2e-05,0.993412
1004,2,0.234634,1.2e-05,0.993424
1005,2,0.234868,1.2e-05,0.993436
1006,4,0.235102,2.4e-05,0.99346
1009,1,0.235803,6e-06,0.993466
1011,2,0.23627,1.2e-05,0.993478
1012,4,0.236504,2.4e-05,0.993502
1013,3,0.236738,1.8e-05,0.99352
1014,5,0.236971,2.9e-05,0.993549
1015,4,0.237205,2.4e-05,0.993573
1018,4,0.237906,2.4e-05,0.993597
1019,1,0.23814,6e-06,0.993603
1020,5,0.238373,2.9e-05,0.993632
1021,2,0.238607,1.2e-05,0.993644
1022,3,0.238841,1.8e-05,0.993662
1023,3,0.239075,1.8e-05,0.99368
1024,2,0.239308,1.2e-05,0.993692
1025,3,0.239542,1.8e-05,0.99371
1026,2,0.239776,1.2e-05,0.993722
1027,4,0.240009,2.4e-05,0.993746
1028,4,0.240243,2.4e-05,0.99377
1029,1,0.240477,6e-06,0.993776
1030,3,0.24071,1.8e-05,0.993794
1031,1,0.240944,6e-06,0.9938
1032,1,0.241178,6e-06,0.993806
1034,2,0.241645,1.2e-05,0.993818
1036,4,0.242113,2.4e-05,0.993842
1037,1,0.242346,6e-06,0.993848
1038,3,0.24258,1.8e-05,0.993866
1039,1,0.242814,6e-06,0.993872
1040,1,0.243047,6e-06,0.993878
1041,1,0.243281,6e-06,0.993884
1043,2,0.243749,1.2e-05,0.993896
