"ClimateZone","level","from","to","N","Freq","cumsum Freq"
"Af","Phylum","acidobacteria","fbp",5,0.00119388729703916,0.954393505253104
"Af","Phylum","chloroflexi","elusimicrobia",5,0.00119388729703916,0.955587392550143
"Af","Phylum","actinobacteria","cyanobacteria",5,0.00119388729703916,0.956781279847182
"Af","Phylum","acidobacteria","unassigned",5,0.00119388729703916,0.957975167144222
"Af","Phylum","bacteroidetes","unassigned",5,0.00119388729703916,0.959169054441261
"Af","Phylum","elusimicrobia","od1",5,0.00119388729703916,0.9603629417383
"Af","Phylum","od1","proteobacteria",5,0.00119388729703916,0.961556829035339
"Af","Phylum","chloroflexi","firmicutes",5,0.00119388729703916,0.962750716332378
"Af","Phylum","fibrobacteres","proteobacteria",5,0.00119388729703916,0.963944603629417
"Af","Phylum","fcpu426","proteobacteria",5,0.00119388729703916,0.965138490926457
"Af","Phylum","actinobacteria","chlorobi",4,0.000955109837631328,0.966093600764088
"Af","Phylum","chloroflexi","ws3",4,0.000955109837631328,0.967048710601719
"Af","Phylum","elusimicrobia","gemmatimonadetes",4,0.000955109837631328,0.96800382043935
"Af","Phylum","spirochaetes","verrucomicrobia",4,0.000955109837631328,0.968958930276982
"Af","Phylum","unassigned","verrucomicrobia",4,0.000955109837631328,0.969914040114613
"Af","Phylum","acidobacteria","cyanobacteria",4,0.000955109837631328,0.970869149952244
"Af","Phylum","cyanobacteria","gemmatimonadetes",4,0.000955109837631328,0.971824259789876
"Af","Phylum","planctomycetes","spirochaetes",4,0.000955109837631328,0.972779369627507
"Af","Phylum","planctomycetes","unassigned",4,0.000955109837631328,0.973734479465138
"Af","Phylum","acidobacteria","chlorobi",4,0.000955109837631328,0.97468958930277
"Af","Phylum","firmicutes","gemmatimonadetes",4,0.000955109837631328,0.975644699140401
"Af","Phylum","acidobacteria","armatimonadetes",4,0.000955109837631328,0.976599808978033
"Af","Phylum","armatimonadetes","verrucomicrobia",4,0.000955109837631328,0.977554918815664
"Af","Phylum","chlorobi","verrucomicrobia",3,0.000716332378223496,0.978271251193887
"Af","Phylum","chlorobi","elusimicrobia",3,0.000716332378223496,0.978987583572111
"Af","Phylum","elusimicrobia","firmicutes",3,0.000716332378223496,0.979703915950334
"Af","Phylum","actinobacteria","fbp",3,0.000716332378223496,0.980420248328558
"Af","Phylum","actinobacteria","unassigned",3,0.000716332378223496,0.981136580706781
"Af","Phylum","od1","planctomycetes",3,0.000716332378223496,0.981852913085005
"Af","Phylum","cyanobacteria","planctomycetes",3,0.000716332378223496,0.982569245463228
"Af","Phylum","firmicutes","nitrospirae",3,0.000716332378223496,0.983285577841452
"Af","Phylum","firmicutes","firmicutes",3,0.000716332378223496,0.984001910219675
"Af","Phylum","acidobacteria","fcpu426",3,0.000716332378223496,0.984718242597899
"Af","Phylum","bacteroidetes","fbp",2,0.000477554918815664,0.985195797516714
"Af","Phylum","elusimicrobia","fbp",2,0.000477554918815664,0.98567335243553
"Af","Phylum","bacteroidetes","cyanobacteria",2,0.000477554918815664,0.986150907354346
"Af","Phylum","acidobacteria","spirochaetes",2,0.000477554918815664,0.986628462273161
"Af","Phylum","proteobacteria","spirochaetes",2,0.000477554918815664,0.987106017191977
"Af","Phylum","nitrospirae","ws3",2,0.000477554918815664,0.987583572110793
"Af","Phylum","actinobacteria","ws3",2,0.000477554918815664,0.988061127029608
"Af","Phylum","actinobacteria","od1",2,0.000477554918815664,0.988538681948424
"Af","Phylum","fbp","planctomycetes",2,0.000477554918815664,0.98901623686724
"Af","Phylum","chloroflexi","unassigned",2,0.000477554918815664,0.989493791786055
"Af","Phylum","nitrospirae","nitrospirae",2,0.000477554918815664,0.989971346704871
"Af","Phylum","cyanobacteria","firmicutes",2,0.000477554918815664,0.990448901623687
"Af","Phylum","actinobacteria","fibrobacteres",2,0.000477554918815664,0.990926456542502
"Af","Phylum","acidobacteria","fibrobacteres",2,0.000477554918815664,0.991404011461318
"Af","Phylum","fbp","proteobacteria",2,0.000477554918815664,0.991881566380134
"Af","Phylum","chlorobi","firmicutes",2,0.000477554918815664,0.992359121298949
"Af","Phylum","bacteroidetes","od1",2,0.000477554918815664,0.992836676217765
"Af","Phylum","armatimonadetes","fbp",2,0.000477554918815664,0.993314231136581
"Af","Phylum","armatimonadetes","gemmatimonadetes",2,0.000477554918815664,0.993791786055396
"Af","Phylum","chlorobi","nitrospirae",1,0.000238777459407832,0.994030563514804
"Af","Phylum","acidobacteria","od1",1,0.000238777459407832,0.994269340974212
"Af","Phylum","armatimonadetes","od1",1,0.000238777459407832,0.99450811843362
"Af","Phylum","bacteroidetes","spirochaetes",1,0.000238777459407832,0.994746895893028
"Af","Phylum","nitrospirae","unassigned",1,0.000238777459407832,0.994985673352435
"Af","Phylum","cyanobacteria","nitrospirae",1,0.000238777459407832,0.995224450811843
"Af","Phylum","fibrobacteres","planctomycetes",1,0.000238777459407832,0.995463228271251
"Af","Phylum","gemmatimonadetes","od1",1,0.000238777459407832,0.995702005730659
"Af","Phylum","gemmatimonadetes","ws3",1,0.000238777459407832,0.995940783190067
"Af","Phylum","chlorobi","od1",1,0.000238777459407832,0.996179560649475
"Af","Phylum","armatimonadetes","ws3",1,0.000238777459407832,0.996418338108882
"Af","Phylum","nitrospirae","od1",1,0.000238777459407832,0.99665711556829
"Af","Phylum","chloroflexi","spirochaetes",1,0.000238777459407832,0.996895893027698
"Af","Phylum","fcpu426","verrucomicrobia",1,0.000238777459407832,0.997134670487106
"Af","Phylum","fcpu426","ws3",1,0.000238777459407832,0.997373447946514
"Af","Phylum","fcpu426","firmicutes",1,0.000238777459407832,0.997612225405922
"Af","Phylum","bacteroidetes","fcpu426",1,0.000238777459407832,0.997851002865329
"Af","Phylum","gemmatimonadetes","unassigned",1,0.000238777459407832,0.998089780324737
"Af","Phylum","fbp","verrucomicrobia",1,0.000238777459407832,0.998328557784145
"Af","Phylum","fibrobacteres","verrucomicrobia",1,0.000238777459407832,0.998567335243553
"Af","Phylum","armatimonadetes","unassigned",1,0.000238777459407832,0.998806112702961
"Af","Phylum","armatimonadetes","spirochaetes",1,0.000238777459407832,0.999044890162369
"Af","Phylum","armatimonadetes","firmicutes",1,0.000238777459407832,0.999283667621776
"Af","Phylum","armatimonadetes","chloroflexi",1,0.000238777459407832,0.999522445081184
"Af","Phylum","armatimonadetes","chlorobi",1,0.000238777459407832,0.999761222540592
"Af","Phylum","cyanobacteria","verrucomicrobia",1,0.000238777459407832,1
"Af","Class","6","acidobacteria",235,0.0561127029608405,0.0561127029608405
"Af","Class","5","acidobacteria",92,0.0219675262655205,0.078080229226361
"Af","Class","alphaproteobacteria","deltaproteobacteria",74,0.0176695319961796,0.0957497612225406
"Af","Class","alphaproteobacteria","alphaproteobacteria",72,0.0171919770773639,0.112941738299904
"Af","Class","alphaproteobacteria","planctomycetia",58,0.0138490926456543,0.126790830945559
