"variable",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"Average path length","value","Cfb","ET",100,100,10000,2.56e-34,6.35e-34,"****"
"Average path length","value","Csa","Csb",100,100,0,2.56e-34,6.35e-34,"****"
"Average path length","value","Csa","Dfa",100,100,0,2.56e-34,6.35e-34,"****"
"Average path length","value","Csa","Dfb",100,100,0,2.56e-34,6.35e-34,"****"
"Average path length","value","Csa","Dfc",100,100,0,2.56e-34,6.35e-34,"****"
"Average path length","value","Csa","Dwb",100,100,35,7.31e-34,1.57e-33,"****"
"Average path length","value","Csa","Dwc",100,100,2,2.72e-34,6.35e-34,"****"
"Average path length","value","Csa","EF",100,100,2508,1.15e-09,1.4e-09,"****"
"Average path length","value","Csa","ET",100,100,3459,0.000167,0.000193,"***"
"Average path length","value","Csb","Dfa",100,100,4254,0.068,0.073,"ns"
"Average path length","value","Csb","Dfb",100,100,583,3.79e-27,5.68e-27,"****"
"Average path length","value","Csb","Dfc",100,100,4831,0.681,0.693,"ns"
"Average path length","value","Csb","Dwb",100,100,9949,1.18e-33,2.25e-33,"****"
"Average path length","value","Csb","Dwc",100,100,8578,2.31e-18,2.89e-18,"****"
"Average path length","value","Csb","EF",100,100,10000,2.56e-34,6.35e-34,"****"
"Average path length","value","Csb","ET",100,100,10000,2.56e-34,6.35e-34,"****"
"Average path length","value","Dfa","Dfb",100,100,844,3.2e-24,4.42e-24,"****"
"Average path length","value","Dfa","Dfc",100,100,5629,0.125,0.131,"ns"
"Average path length","value","Dfa","Dwb",100,100,9962,7.99e-34,1.61e-33,"****"
"Average path length","value","Dfa","Dwc",100,100,8910,1.27e-21,1.67e-21,"****"
"Average path length","value","Dfa","EF",100,100,10000,2.56e-34,6.35e-34,"****"
"Average path length","value","Dfa","ET",100,100,10000,2.56e-34,6.35e-34,"****"
"Average path length","value","Dfb","Dfc",100,100,9438,2.16e-27,3.39e-27,"****"
"Average path length","value","Dfb","Dwb",100,100,10000,2.56e-34,6.35e-34,"****"
"Average path length","value","Dfb","Dwc",100,100,9976,5.26e-34,1.15e-33,"****"
"Average path length","value","Dfb","EF",100,100,10000,2.56e-34,6.35e-34,"****"
"Average path length","value","Dfb","ET",100,100,10000,2.56e-34,6.35e-34,"****"
"Average path length","value","Dfc","Dwb",100,100,9964,7.53e-34,1.58e-33,"****"
"Average path length","value","Dfc","Dwc",100,100,8792,1.97e-20,2.52e-20,"****"
"Average path length","value","Dfc","EF",100,100,10000,2.56e-34,6.35e-34,"****"
"Average path length","value","Dfc","ET",100,100,10000,2.56e-34,6.35e-34,"****"
"Average path length","value","Dwb","Dwc",100,100,830,2.25e-24,3.15e-24,"****"
"Average path length","value","Dwb","EF",100,100,9655,5.72e-30,1e-29,"****"
"Average path length","value","Dwb","ET",100,100,9926,2.33e-33,4.29e-33,"****"
"Average path length","value","Dwc","EF",100,100,9962,7.99e-34,1.61e-33,"****"
"Average path length","value","Dwc","ET",100,100,9999,2.64e-34,6.35e-34,"****"
"Average path length","value","EF","ET",100,100,6532,0.000183,0.000209,"***"
"Density","value","Af","Am",100,100,436.5,7.16e-29,8.64e-29,"****"
"Density","value","Af","Aw",100,100,0,2.55e-34,4.25e-34,"****"
"Density","value","Af","BSk",100,100,0,2.55e-34,4.25e-34,"****"
"Density","value","Af","Cfa",100,100,9710.5,1.19e-30,1.45e-30,"****"
"Density","value","Af","Cfb",100,100,9212.5,7.65e-25,8.92e-25,"****"
"Density","value","Af","Csa",100,100,0,2.55e-34,4.25e-34,"****"
"Density","value","Af","Csb",100,100,1851,1.43e-14,1.58e-14,"****"
"Density","value","Af","Dfa",100,100,2670.5,1.26e-08,1.35e-08,"****"
"Density","value","Af","Dfb",100,100,9339,2.94e-26,3.47e-26,"****"
"Density","value","Af","Dfc",100,100,1438,3.24e-18,3.74e-18,"****"
"Density","value","Af","Dwb",100,100,0,2.55e-34,4.25e-34,"****"
"Density","value","Af","Dwc",100,100,1,2.63e-34,4.31e-34,"****"
"Density","value","Af","EF",100,100,0,2.55e-34,4.25e-34,"****"
"Density","value","Af","ET",100,100,0,2.55e-34,4.25e-34,"****"
"Density","value","Am","Aw",100,100,86,3.3e-33,4.39e-33,"****"
"Density","value","Am","BSk",100,100,0,2.54e-34,4.25e-34,"****"
"Density","value","Am","Cfa",100,100,10000,2.54e-34,4.25e-34,"****"
"Density","value","Am","Cfb",100,100,9987,3.76e-34,5.64e-34,"****"
"Density","value","Am","Csa",100,100,0,2.54e-34,4.25e-34,"****"
"Density","value","Am","Csb",100,100,7278,2.61e-08,2.77e-08,"****"
"Density","value","Am","Dfa",100,100,8483,1.74e-17,1.94e-17,"****"
"Density","value","Am","Dfb",100,100,9994,3.04e-34,4.78e-34,"****"
"Density","value","Am","Dfc",100,100,7383,5.82e-09,6.3e-09,"****"
"Density","value","Am","Dwb",100,100,0,2.54e-34,4.25e-34,"****"
"Density","value","Am","Dwc",100,100,512,5.61e-28,6.69e-28,"****"
"Density","value","Am","EF",100,100,0,2.55e-34,4.25e-34,"****"
"Density","value","Am","ET",100,100,0,2.54e-34,4.25e-34,"****"
"Density","value","Aw","BSk",100,100,0,2.55e-34,4.25e-34,"****"
"Density","value","Aw","Cfa",100,100,10000,2.55e-34,4.25e-34,"****"
"Density","value","Aw","Cfb",100,100,10000,2.55e-34,4.25e-34,"****"
"Density","value","Aw","Csa",100,100,0,2.55e-34,4.25e-34,"****"
"Density","value","Aw","Csb",100,100,9994,3.05e-34,4.78e-34,"****"
"Density","value","Aw","Dfa",100,100,9998,2.71e-34,4.38e-34,"****"
"Density","value","Aw","Dfb",100,100,10000,2.55e-34,4.25e-34,"****"
"Density","value","Aw","Dfc",100,100,10000,2.55e-34,4.25e-34,"****"
"Density","value","Aw","Dwb",100,100,235,2.52e-31,3.15e-31,"****"
"Density","value","Aw","Dwc",100,100,8057.5,8.03e-14,8.78e-14,"****"
"Density","value","Aw","EF",100,100,0,2.55e-34,4.25e-34,"****"
"Density","value","Aw","ET",100,100,0,2.55e-34,4.25e-34,"****"
"Density","value","BSk","Cfa",100,100,10000,2.54e-34,4.25e-34,"****"
"Density","value","BSk","Cfb",100,100,10000,2.55e-34,4.25e-34,"****"
"Density","value","BSk","Csa",100,100,10000,2.55e-34,4.25e-34,"****"
"Density","value","BSk","Csb",100,100,10000,2.55e-34,4.25e-34,"****"
"Density","value","BSk","Dfa",100,100,10000,2.55e-34,4.25e-34,"****"
"Density","value","BSk","Dfb",100,100,10000,2.54e-34,4.25e-34,"****"
"Density","value","BSk","Dfc",100,100,10000,2.54e-34,4.25e-34,"****"
"Density","value","BSk","Dwb",100,100,10000,2.54e-34,4.25e-34,"****"
