"Cluster","level","name","N","Freq"
"1","Kingdom","Bacteria",215,1
"1","Phylum","Proteobacteria",68,0.3163
"1","Phylum","Planctomycetes",44,0.2047
"1","Phylum","Acidobacteria",28,0.1302
"1","Phylum","Verrucomicrobia",16,0.0744
"1","Phylum","Bacteroidetes",13,0.0605
"1","Phylum","Gemmatimonadetes",9,0.0419
"1","Phylum","Actinobacteria",8,0.0372
"1","Phylum","WS3",7,0.0326
"1","Phylum","Nitrospirae",7,0.0326
"1","Phylum","Chloroflexi",6,0.0279
"1","Phylum","Armatimonadetes",3,0.014
"1","Phylum","Cyanobacteria",2,0.0093
"1","Phylum","unassigned",2,0.0093
"1","Phylum","Spirochaetes",1,0.0047
"1","Phylum","Firmicutes",1,0.0047
"1","Class","Planctomycetia",29,0.1349
"1","Class","Deltaproteobacteria",23,0.107
"1","Class","Alphaproteobacteria",18,0.0837
"1","Class","Betaproteobacteria",17,0.0791
"1","Class","unassigned",12,0.0558
"1","Class","Pedosphaerae",9,0.0419
"1","Class","Gammaproteobacteria",7,0.0326
"1","Class","PRR-12",7,0.0326
"1","Class","Nitrospira",7,0.0326
"1","Class","Saprospirae",6,0.0279
"1","Class","Phycisphaerae",6,0.0279
"1","Class","DA052",5,0.0233
"1","Class","OM190",5,0.0233
"1","Class","Gemm-1",5,0.0233
"1","Class","Gemmatimonadetes",4,0.0186
"1","Class","Acidobacteria-6",4,0.0186
"1","Class","Actinobacteria",4,0.0186
"1","Class","Acidobacteria-5",4,0.0186
"1","Class","Opitutae",4,0.0186
"1","Class","Anaerolineae",3,0.014
"1","Class","Fimbriimonadia",3,0.014
"1","Class","Chloracidobacteria",3,0.014
"1","Class","Cytophagia",3,0.014
"1","Class","Sphingobacteriia",3,0.014
"1","Class","RB25",2,0.0093
"1","Class","MB-A2-108",2,0.0093
"1","Class","C6",2,0.0093
"1","Class","iii1-8",2,0.0093
"1","Class","Chloroplast",2,0.0093
"1","Class","Spartobacteria",2,0.0093
"1","Class","TK10",1,0.0047
"1","Class","Sva0725",1,0.0047
"1","Class","Solibacteres",1,0.0047
"1","Class","PAUC37f",1,0.0047
"1","Class","Pla4",1,0.0047
"1","Class","Thermoleophilia",1,0.0047
"1","Class","Spirochaetes",1,0.0047
"1","Class","Chloroflexi",1,0.0047
"1","Class","Acidimicrobiia",1,0.0047
"1","Class","Bacilli",1,0.0047
"1","Class","Flavobacteriia",1,0.0047
"1","Class","Methylacidiphilae",1,0.0047
"1","Order","unassigned",48,0.2233
"1","Order","Gemmatales",18,0.0837
"1","Order","Myxococcales",13,0.0605
"1","Order","Pedosphaerales",9,0.0419
"1","Order","Pirellulales",7,0.0326
"1","Order","Nitrospirales",7,0.0326
"1","Order","Saprospirales",6,0.0279
"1","Order","Sediment-1",5,0.0233
"1","Order","Ellin6513",5,0.0233
"1","Order","Rhizobiales",5,0.0233
"1","Order","SC-I-84",4,0.0186
"1","Order","Planctomycetales",4,0.0186
"1","Order","Actinomycetales",4,0.0186
"1","Order","agg27",4,0.0186
"1","Order","Opitutales",4,0.0186
"1","Order","MND1",3,0.014
"1","Order","Syntrophobacterales",3,0.014
"1","Order","WD2101",3,0.014
"1","Order","Fimbriimonadales",3,0.014
"1","Order","Ellin329",3,0.014
"1","Order","Cytophagales",3,0.014
"1","Order","Sphingobacteriales",3,0.014
"1","Order","iii1-15",2,0.0093
"1","Order","0319-7L14",2,0.0093
"1","Order","A21b",2,0.0093
"1","Order","Xanthomonadales",2,0.0093
"1","Order","MVS-107",2,0.0093
"1","Order","H39",2,0.0093
"1","Order","Stramenopiles",2,0.0093
"1","Order","11-24",2,0.0093
"1","Order","Chthoniobacterales",2,0.0093
"1","Order","CCU21",2,0.0093
"1","Order","LD1-PA13",2,0.0093
"1","Order","Burkholderiales",2,0.0093
"1","Order","C114",2,0.0093
"1","Order","Alteromonadales",1,0.0047
"1","Order","Rhodobacterales",1,0.0047
"1","Order","KD8-87",1,0.0047
"1","Order","Sva0725",1,0.0047
"1","Order","Sphingomonadales",1,0.0047
"1","Order","IS-44",1,0.0047
"1","Order","Solibacterales",1,0.0047
"1","Order","Rickettsiales",1,0.0047
"1","Order","SJA-36",1,0.0047
"1","Order","HTCC2188",1,0.0047
"1","Order","32-20",1,0.0047
"1","Order","PK29",1,0.0047
"1","Order","Pla1",1,0.0047
"1","Order","CCM11a",1,0.0047
"1","Order","envOPS12",1,0.0047
"1","Order","CL500-15",1,0.0047
"1","Order","Gaiellales",1,0.0047
"1","Order","NB1-j",1,0.0047
"1","Order","Spirochaetales",1,0.0047
"1","Order","Roseiflexales",1,0.0047
"1","Order","Acidimicrobiales",1,0.0047
"1","Order","Bacillales",1,0.0047
"1","Order","Flavobacteriales",1,0.0047
"1","Order","S-BQ2-57",1,0.0047
"1","Order","Ellin6067",1,0.0047
"1","Family","unassigned",118,0.5488
"1","Family","Gemmataceae",13,0.0605
"1","Family","Pirellulaceae",7,0.0326
"1","Family","Isosphaeraceae",5,0.0233
"1","Family","Planctomycetaceae",4,0.0186
"1","Family","Micromonosporaceae",4,0.0186
"1","Family","Opitutaceae",4,0.0186
"1","Family","0319-6A21",4,0.0186
"1","Family","PRR-10",3,0.014
"1","Family","Chitinophagaceae",3,0.014
"1","Family","Hyphomicrobiaceae",3,0.014
"1","Family","Syntrophobacteraceae",3,0.014
"1","Family","Saprospiraceae",3,0.014
"1","Family","auto67_4W",3,0.014
"1","Family","Fimbriimonadaceae",3,0.014
"1","Family","Cytophagaceae",3,0.014
"1","Family","Polyangiaceae",2,0.0093
"1","Family","UD5",2,0.0093
"1","Family","Ellin515",2,0.0093
"1","Family","Sinobacteraceae",2,0.0093
"1","Family","Nitrospiraceae",2,0.0093
"1","Family","Chthoniobacteraceae",2,0.0093
"1","Family","OM60",1,0.0047
"1","Family","Hyphomonadaceae",1,0.0047
"1","Family","mb2424",1,0.0047
"1","Family","Sphingomonadaceae",1,0.0047
"1","Family","Solibacteraceae",1,0.0047
"1","Family","HTCC2089",1,0.0047
"1","Family","Leptospirillaceae",1,0.0047
"1","Family","Haliangiaceae",1,0.0047
"1","Family","Oxalobacteraceae",1,0.0047
"1","Family","Gaiellaceae",1,0.0047
"1","Family","OPB35",1,0.0047
"1","Family","Ellin517",1,0.0047
"1","Family","NB1-i",1,0.0047
"1","Family","Spirochaetaceae",1,0.0047
"1","Family","Kouleothrixaceae",1,0.0047
"1","Family","EB1017",1,0.0047
"1","Family","Alicyclobacillaceae",1,0.0047
"1","Family","Comamonadaceae",1,0.0047
"1","Family","Flavobacteriaceae",1,0.0047
"1","Family","Bradyrhizobiaceae",1,0.0047
"1","Genus","unassigned",182,0.8465
"1","Genus","Planctomyces",4,0.0186
"1","Genus","A17",3,0.014
"1","Genus","Gemmata",3,0.014
"1","Genus","Fimbriimonas",3,0.014
"1","Genus","Nitrospira",2,0.0093
