"ClimateZone","Cluster","level","name","N","Freq"
"Af","1","Kingdom","Bacteria",186,1
"Af","1","Phylum","Proteobacteria",58,0.3118
"Af","1","Phylum","Planctomycetes",43,0.2312
"Af","1","Phylum","Acidobacteria",26,0.1398
"Af","1","Phylum","Verrucomicrobia",15,0.0806
"Af","1","Phylum","Gemmatimonadetes",8,0.043
"Af","1","Phylum","Actinobacteria",8,0.043
"Af","1","Phylum","Nitrospirae",6,0.0323
"Af","1","Phylum","WS3",5,0.0269
"Af","1","Phylum","Chloroflexi",5,0.0269
"Af","1","Phylum","Bacteroidetes",5,0.0269
"Af","1","Phylum","Armatimonadetes",3,0.0161
"Af","1","Phylum","unassigned",2,0.0108
"Af","1","Phylum","Cyanobacteria",1,0.0054
"Af","1","Phylum","Spirochaetes",1,0.0054
"Af","1","Class","Planctomycetia",29,0.1559
"Af","1","Class","Deltaproteobacteria",20,0.1075
"Af","1","Class","Alphaproteobacteria",17,0.0914
"Af","1","Class","Betaproteobacteria",12,0.0645
"Af","1","Class","unassigned",11,0.0591
"Af","1","Class","Pedosphaerae",8,0.043
"Af","1","Class","Gammaproteobacteria",6,0.0323
"Af","1","Class","Phycisphaerae",6,0.0323
"Af","1","Class","Nitrospira",6,0.0323
"Af","1","Class","PRR-12",5,0.0269
"Af","1","Class","DA052",5,0.0269
"Af","1","Class","Gemm-1",5,0.0269
"Af","1","Class","Acidobacteria-6",4,0.0215
"Af","1","Class","Actinobacteria",4,0.0215
"Af","1","Class","Acidobacteria-5",4,0.0215
"Af","1","Class","OM190",4,0.0215
"Af","1","Class","Opitutae",4,0.0215
"Af","1","Class","Gemmatimonadetes",3,0.0161
"Af","1","Class","Fimbriimonadia",3,0.0161
"Af","1","Class","RB25",2,0.0108
"Af","1","Class","MB-A2-108",2,0.0108
"Af","1","Class","C6",2,0.0108
"Af","1","Class","iii1-8",2,0.0108
"Af","1","Class","Anaerolineae",2,0.0108
"Af","1","Class","Chloracidobacteria",2,0.0108
"Af","1","Class","Spartobacteria",2,0.0108
"Af","1","Class","Sphingobacteriia",2,0.0108
"Af","1","Class","TK10",1,0.0054
"Af","1","Class","Sva0725",1,0.0054
"Af","1","Class","Solibacteres",1,0.0054
"Af","1","Class","Chloroplast",1,0.0054
"Af","1","Class","PAUC37f",1,0.0054
"Af","1","Class","Pla4",1,0.0054
"Af","1","Class","Thermoleophilia",1,0.0054
"Af","1","Class","Saprospirae",1,0.0054
"Af","1","Class","Cytophagia",1,0.0054
"Af","1","Class","Spirochaetes",1,0.0054
"Af","1","Class","Chloroflexi",1,0.0054
"Af","1","Class","Acidimicrobiia",1,0.0054
"Af","1","Class","Flavobacteriia",1,0.0054
"Af","1","Class","Methylacidiphilae",1,0.0054
"Af","1","Order","unassigned",43,0.2312
"Af","1","Order","Gemmatales",18,0.0968
"Af","1","Order","Myxococcales",13,0.0699
"Af","1","Order","Pedosphaerales",8,0.043
"Af","1","Order","Pirellulales",7,0.0376
"Af","1","Order","Nitrospirales",6,0.0323
"Af","1","Order","Sediment-1",5,0.0269
"Af","1","Order","Ellin6513",5,0.0269
"Af","1","Order","Rhizobiales",5,0.0269
"Af","1","Order","Planctomycetales",4,0.0215
"Af","1","Order","Actinomycetales",4,0.0215
"Af","1","Order","agg27",4,0.0215
"Af","1","Order","Opitutales",4,0.0215
"Af","1","Order","SC-I-84",3,0.0161
"Af","1","Order","MND1",3,0.0161
"Af","1","Order","WD2101",3,0.0161
"Af","1","Order","Fimbriimonadales",3,0.0161
"Af","1","Order","Ellin329",3,0.0161
"Af","1","Order","iii1-15",2,0.0108
"Af","1","Order","0319-7L14",2,0.0108
"Af","1","Order","Xanthomonadales",2,0.0108
"Af","1","Order","MVS-107",2,0.0108
"Af","1","Order","Syntrophobacterales",2,0.0108
"Af","1","Order","Chthoniobacterales",2,0.0108
"Af","1","Order","CCU21",2,0.0108
"Af","1","Order","Sphingobacteriales",2,0.0108
"Af","1","Order","C114",2,0.0108
"Af","1","Order","Rhodobacterales",1,0.0054
"Af","1","Order","KD8-87",1,0.0054
"Af","1","Order","Sva0725",1,0.0054
"Af","1","Order","Sphingomonadales",1,0.0054
"Af","1","Order","A21b",1,0.0054
"Af","1","Order","Solibacterales",1,0.0054
"Af","1","Order","Rickettsiales",1,0.0054
"Af","1","Order","SJA-36",1,0.0054
"Af","1","Order","HTCC2188",1,0.0054
"Af","1","Order","H39",1,0.0054
"Af","1","Order","32-20",1,0.0054
"Af","1","Order","Stramenopiles",1,0.0054
"Af","1","Order","PK29",1,0.0054
"Af","1","Order","Pla1",1,0.0054
"Af","1","Order","11-24",1,0.0054
"Af","1","Order","CCM11a",1,0.0054
"Af","1","Order","envOPS12",1,0.0054
"Af","1","Order","Burkholderiales",1,0.0054
"Af","1","Order","Gaiellales",1,0.0054
"Af","1","Order","Saprospirales",1,0.0054
"Af","1","Order","Cytophagales",1,0.0054
"Af","1","Order","NB1-j",1,0.0054
"Af","1","Order","Spirochaetales",1,0.0054
"Af","1","Order","Roseiflexales",1,0.0054
"Af","1","Order","Acidimicrobiales",1,0.0054
"Af","1","Order","Flavobacteriales",1,0.0054
"Af","1","Order","S-BQ2-57",1,0.0054
"Af","1","Family","unassigned",103,0.5538
"Af","1","Family","Gemmataceae",13,0.0699
"Af","1","Family","Pirellulaceae",7,0.0376
"Af","1","Family","Isosphaeraceae",5,0.0269
"Af","1","Family","Planctomycetaceae",4,0.0215
"Af","1","Family","Micromonosporaceae",4,0.0215
"Af","1","Family","Opitutaceae",4,0.0215
"Af","1","Family","0319-6A21",4,0.0215
"Af","1","Family","PRR-10",3,0.0161
"Af","1","Family","Hyphomicrobiaceae",3,0.0161
"Af","1","Family","Fimbriimonadaceae",3,0.0161
"Af","1","Family","Polyangiaceae",2,0.0108
"Af","1","Family","Ellin515",2,0.0108
