"variable",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"Average path length","value","Af","Am",100,100,8810,1.3e-20,2.44e-20,"****"
"Average path length","value","Af","Aw",100,100,9526,2.02e-28,4.24e-28,"****"
"Average path length","value","Af","BSk",100,100,10000,2.56e-34,9.52e-34,"****"
"Average path length","value","Af","Cfa",100,100,5027,0.948,0.966,"ns"
"Average path length","value","Af","Cfb",100,100,4985,0.972,0.981,"ns"
"Average path length","value","Af","Csa",100,100,10000,2.56e-34,9.52e-34,"****"
"Average path length","value","Af","Csb",100,100,7087,3.43e-07,4.34e-07,"****"
"Average path length","value","Af","Dfa",100,100,8388,1.26e-16,2.07e-16,"****"
"Average path length","value","Af","Dfb",100,100,5989,0.016,0.017,"*"
"Average path length","value","Af","Dfc",100,100,7959,4.87e-13,7.1e-13,"****"
"Average path length","value","Af","Dwb",100,100,8742,6.13e-20,1.09e-19,"****"
"Average path length","value","Af","Dwc",100,100,8215,4.02e-15,6.3e-15,"****"
"Average path length","value","Af","EF",100,100,10000,2.56e-34,9.52e-34,"****"
"Average path length","value","Af","ET",100,100,9990,3.46e-34,1.04e-33,"****"
"Average path length","value","Am","Aw",100,100,7008,9.34e-07,1.17e-06,"****"
"Average path length","value","Am","BSk",100,100,10000,2.56e-34,9.52e-34,"****"
"Average path length","value","Am","Cfa",100,100,1157,6.07e-21,1.18e-20,"****"
"Average path length","value","Am","Cfb",100,100,1177,9.65e-21,1.84e-20,"****"
"Average path length","value","Am","Csa",100,100,10000,2.56e-34,9.52e-34,"****"
"Average path length","value","Am","Csb",100,100,2857,1.65e-07,2.14e-07,"****"
"Average path length","value","Am","Dfa",100,100,4429,0.163,0.175,"ns"
"Average path length","value","Am","Dfb",100,100,1804,5.82e-15,8.99e-15,"****"
"Average path length","value","Am","Dfc",100,100,4017,0.016,0.018,"*"
"Average path length","value","Am","Dwb",100,100,5122,0.767,0.797,"ns"
"Average path length","value","Am","Dwc",100,100,3968,0.012,0.013,"*"
"Average path length","value","Am","EF",100,100,9983,4.27e-34,1.18e-33,"****"
"Average path length","value","Am","ET",100,100,9584,4.11e-29,9.38e-29,"****"
"Average path length","value","Aw","BSk",100,100,10000,2.56e-34,9.52e-34,"****"
"Average path length","value","Aw","Cfa",100,100,429,5.88e-29,1.29e-28,"****"
"Average path length","value","Aw","Cfb",100,100,449,1.02e-28,2.19e-28,"****"
"Average path length","value","Aw","Csa",100,100,10000,2.56e-34,9.52e-34,"****"
"Average path length","value","Aw","Csb",100,100,1462,5.45e-18,9.38e-18,"****"
"Average path length","value","Aw","Dfa",100,100,2457,5.22e-10,7.21e-10,"****"
"Average path length","value","Aw","Dfb",100,100,740,2.29e-25,4.71e-25,"****"
"Average path length","value","Aw","Dfc",100,100,2245,1.69e-11,2.4e-11,"****"
"Average path length","value","Aw","Dwb",100,100,3191,9.92e-06,1.23e-05,"****"
"Average path length","value","Aw","Dwc",100,100,2115,1.82e-12,2.62e-12,"****"
"Average path length","value","Aw","EF",100,100,9947,1.25e-33,3.28e-33,"****"
"Average path length","value","Aw","ET",100,100,9049,4.51e-23,8.93e-23,"****"
"Average path length","value","BSk","Cfa",100,100,0,2.56e-34,9.52e-34,"****"
"Average path length","value","BSk","Cfb",100,100,0,2.56e-34,9.52e-34,"****"
"Average path length","value","BSk","Csa",100,100,805,1.2e-24,2.42e-24,"****"
"Average path length","value","BSk","Csb",100,100,0,2.56e-34,9.52e-34,"****"
"Average path length","value","BSk","Dfa",100,100,0,2.56e-34,9.52e-34,"****"
"Average path length","value","BSk","Dfb",100,100,0,2.56e-34,9.52e-34,"****"
"Average path length","value","BSk","Dfc",100,100,0,2.56e-34,9.52e-34,"****"
"Average path length","value","BSk","Dwb",100,100,0,2.56e-34,9.52e-34,"****"
"Average path length","value","BSk","Dwc",100,100,0,2.56e-34,9.52e-34,"****"
"Average path length","value","BSk","EF",100,100,13,3.78e-34,1.1e-33,"****"
"Average path length","value","BSk","ET",100,100,1,2.64e-34,9.52e-34,"****"
"Average path length","value","Cfa","Cfb",100,100,5007,0.987,0.987,"ns"
"Average path length","value","Cfa","Csa",100,100,10000,2.56e-34,9.52e-34,"****"
"Average path length","value","Cfa","Csb",100,100,7146,1.59e-07,2.09e-07,"****"
"Average path length","value","Cfa","Dfa",100,100,8475,2.07e-17,3.51e-17,"****"
"Average path length","value","Cfa","Dfb",100,100,6102,0.007,0.008,"**"
"Average path length","value","Cfa","Dfc",100,100,8032,1.29e-13,1.94e-13,"****"
"Average path length","value","Cfa","Dwb",100,100,8791,2.01e-20,3.7e-20,"****"
"Average path length","value","Cfa","Dwc",100,100,8285,1.01e-15,1.63e-15,"****"
"Average path length","value","Cfa","EF",100,100,10000,2.56e-34,9.52e-34,"****"
"Average path length","value","Cfa","ET",100,100,9993,3.16e-34,1.01e-33,"****"
"Average path length","value","Cfb","Csa",100,100,10000,2.56e-34,9.52e-34,"****"
"Average path length","value","Cfb","Csb",100,100,7092,3.22e-07,4.12e-07,"****"
"Average path length","value","Cfb","Dfa",100,100,8421,6.4e-17,1.07e-16,"****"
"Average path length","value","Cfb","Dfb",100,100,5988,0.016,0.017,"*"
"Average path length","value","Cfb","Dfc",100,100,7972,3.86e-13,5.71e-13,"****"
"Average path length","value","Cfb","Dwb",100,100,8772,3.11e-20,5.63e-20,"****"
"Average path length","value","Cfb","Dwc",100,100,8271,1.34e-15,2.13e-15,"****"
"Average path length","value","Cfb","EF",100,100,10000,2.56e-34,9.52e-34,"****"
"Average path length","value","Cfb","ET",100,100,9993,3.16e-34,1.01e-33,"****"
"Average path length","value","Csa","Csb",100,100,0,2.56e-34,9.52e-34,"****"
"Average path length","value","Csa","Dfa",100,100,0,2.56e-34,9.52e-34,"****"
"Average path length","value","Csa","Dfb",100,100,0,2.56e-34,9.52e-34,"****"
"Average path length","value","Csa","Dfc",100,100,0,2.56e-34,9.52e-34,"****"
"Average path length","value","Csa","Dwb",100,100,0,2.56e-34,9.52e-34,"****"
"Average path length","value","Csa","Dwc",100,100,0,2.56e-34,9.52e-34,"****"
"Average path length","value","Csa","EF",100,100,334,4.2e-30,9.8e-30,"****"
"Average path length","value","Csa","ET",100,100,52,1.21e-33,3.26e-33,"****"
"Average path length","value","Csb","Dfa",100,100,6599,9.39e-05,0.000115,"***"
"Average path length","value","Csb","Dfb",100,100,3854,0.005,0.006,"**"
"Average path length","value","Csb","Dfc",100,100,6103,0.007,0.008,"**"
"Average path length","value","Csb","Dwb",100,100,7160,1.32e-07,1.75e-07,"****"
"Average path length","value","Csb","Dwc",100,100,6278,0.002,0.002,"**"
"Average path length","value","Csb","EF",100,100,9998,2.72e-34,9.52e-34,"****"
"Average path length","value","Csb","ET",100,100,9871,1.18e-32,3.02e-32,"****"
"Average path length","value","Dfa","Dfb",100,100,2306,4.66e-11,6.52e-11,"****"
"Average path length","value","Dfa","Dfc",100,100,4537,0.258,0.274,"ns"
"Average path length","value","Dfa","Dwb",100,100,5724,0.077,0.083,"ns"
"Average path length","value","Dfa","Dwc",100,100,4598,0.327,0.343,"ns"
"Average path length","value","Dfa","EF",100,100,9998,2.72e-34,9.52e-34,"****"
"Average path length","value","Dfa","ET",100,100,9782,1.56e-31,3.72e-31,"****"
"Average path length","value","Dfb","Dfc",100,100,7199,7.8e-08,1.05e-07,"****"
"Average path length","value","Dfb","Dwb",100,100,8176,8.56e-15,1.3e-14,"****"
"Average path length","value","Dfb","Dwc",100,100,7483,1.31e-09,1.79e-09,"****"
"Average path length","value","Dfb","EF",100,100,10000,2.56e-34,9.52e-34,"****"
"Average path length","value","Dfb","ET",100,100,9984,4.14e-34,1.17e-33,"****"
"Average path length","value","Dfc","Dwb",100,100,6092,0.008,0.009,"**"
"Average path length","value","Dfc","Dwc",100,100,5103,0.802,0.826,"ns"
"Average path length","value","Dfc","EF",100,100,10000,2.56e-34,9.52e-34,"****"
"Average path length","value","Dfc","ET",100,100,9805,8.02e-32,1.96e-31,"****"
"Average path length","value","Dwb","Dwc",100,100,3860,0.005,0.006,"**"
