".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"degree","Af","Am",1257,1052,571959,2.24e-08,1.1e-06,"****"
"degree","Af","Aw",1257,965,482159.5,1.09e-16,6.65e-15,"****"
"degree","Af","BSk",1257,416,127852,3.72e-55,3.72e-53,"****"
"degree","Af","Cfa",1257,1438,918199.5,0.474,1,"ns"
"degree","Af","Cfb",1257,1447,921121.5,0.564,1,"ns"
"degree","Af","Csa",1257,459,145499,8.48e-56,8.56e-54,"****"
"degree","Af","Csb",1257,1288,775331.5,0.065,0.978,"ns"
"degree","Af","Dfa",1257,1232,701162,4.49e-05,0.001,"**"
"degree","Af","Dfb",1257,1356,827525.5,0.2,1,"ns"
"degree","Af","Dfc",1257,1212,700618,0.000557,0.017,"*"
"degree","Af","Dwb",1257,1114,605373,1.22e-08,6.1e-07,"****"
"degree","Af","Dwc",1257,1178,665158.5,1.44e-05,0.000518,"***"
"degree","Af","EF",1257,564,214744.5,2.42e-41,2.06e-39,"****"
"degree","Af","ET",1257,831,358171,4.49e-34,3.46e-32,"****"
"degree","Am","Aw",1052,965,470738.5,0.005,0.12,"ns"
"degree","Am","BSk",1052,416,117991.5,3.61e-43,3.1e-41,"****"
"degree","Am","Cfa",1052,1438,873072,4.56e-11,2.42e-09,"****"
"degree","Am","Cfb",1052,1447,876965.5,7.77e-11,4.04e-09,"****"
"degree","Am","Csa",1052,459,141290.5,9.95e-38,7.96e-36,"****"
"degree","Am","Csb",1052,1288,743686.5,4.67e-05,0.001,"**"
"degree","Am","Dfa",1052,1232,676481.5,0.07,0.983,"ns"
"degree","Am","Dfb",1052,1356,793968.5,1.85e-06,7.58e-05,"****"
"degree","Am","Dfc",1052,1212,673855,0.019,0.363,"ns"
"degree","Am","Dwb",1052,1114,587046,0.941,1,"ns"
"degree","Am","Dwc",1052,1178,642891,0.125,1,"ns"
"degree","Am","EF",1052,564,205578,2.27e-24,1.54e-22,"****"
